ISBN,Reseña,,
1234,"hola, el dia de hoy les vengo a contar la experencia mas traumatuca de mu vida... todo empezo, una noche a las 03:11, decidi que era buena idea descubrir por las malas reseñas del libro sin imaginarme que seria mi peor error. lei solamente la prueba gratis, para.. ya saben ""entretenerme"" un rato, pero eso no ocurrio, en cambio, desde el capitulo 2 me empeze a abrumar... el libro decia tantas cosas que me son imposibles de recordar... mi recomendacion: no lo lean... (no mentira, leelo si quieres supongo que los efectos de crecer es que ya no te gudta lo mismo de antes, supongo que ahora libros como este los encuentro aburridos, pero cada quien con sus gustos, un saludo, y gracias si te diste el tiempo de leer mi abominacion de reseña)",,
1234,Es muy poco original el libro es muy malo no se por que le gustan a esto alos niños solo es comedia estúpida y nda de aventuras ni e imaginación:v,,
1234,"Algunos no saben valorar lo que otros se esfuersan para aserlo.sobre el libro:Amanece un nuevo dia en Ciudad cuvo,y en casa de mike y trolli todo parece en calma.¡Es el dia de la excurción!preparan todo lo necesario para sobrevivir en un bosque misterioso:linterna,brujula,chocolate y mas chocolate.pero no imagian lo que se van a encontrar: Pasajes ocultos,objetos magicos,puertas a otras dimenciones,enemigos desconocidos . Y UN SECRETO QUE CAMBIARÁ SU VIDA PARA SIEMPRE... Es muy bueno el libro se los recomiendo las perrerias de mike la estrella maldita . Y para los que no saben tambien esta a la ven ta ,las perrerias de mike 2 mike y el diamantito perdido",,
1234,cómo lo amo este libro es delo mejor las temporadas fueron buenas cun un secreto en la temporada 1. La estrella maldita que buena subcribanse a mikecrak chocolate con almendras chocolate con almendras chocolate con almendras dame chocolate para mikecrak se merece 5. Estrellas o diamantitos,,
1234,Muy malo es aburrido es exagerado y es estúpido pagar para leer esta cosa además las personas que dicen está bueno solo lo Disen porque es de mikecrack,,
1234,"Amanece un nuevo día en Ciudad Cubo, y en casa de Mike y Trolli todo parece en calma. ¡Es el día de la excursión! Preparan todo lo necesario para sobrevivir en un bosque misterioso: linterna, brújula, chocolate y más chocolate. Pero no imaginan lo que se van a encontrar: pasajes ocultos, objetos mágicos, puertas a otras dimensiones, enemigos desconocidos. Y un secreto que cambiará su vida para siempre...",,
1234,Porque tanta critica que lis stupidos no se dan cuenta que es oara niños esto la mayoria de calificaciones no tienen sentido es solo un libro que segun yo cuenta el canon de la hisyoria y mike... PA CUANDO OTRO EP?,,
1234,"Es un libro maravilloso, k mal k algunos no lo sepan apreciar, hablo de los k dieron uan estrella, ellos no saben valorar el esfuerzo, solo lo critican, pero bueno, a palabras necias oídos sordos Es un libro maravilloso x2, merece una segunda parte, weno no lo leí pero kuanto kisiera, los k leyeron esto y tienen el libro les deseo una buena lectura",,
1234,"No importa la edad, siempre puedes disfrutarlo mientras te divierta. Admiremos los proyectos de Mike que hace con esfuerzo por él y para nosotros, es muy interesante este libro , vamos a leerlo :D",,
1234,Solo leí casi todo Solo me falta el final pero creo que es un libro súper bueno los recomiendo que lo lean por eso le doy 5 estrellas pero yo podría ponerle 100 estrellas UwU,,
1234,La gente no sabe valorar lo que uno ase es mejor que aprender a valorar lo que a uno le cuesto mucho aser algunas personas les cuesta demasiado y uno no tiene todos los segundos es mejor que creen sus propios libros para que vean que es lo que le cuesta a uno y que aprendan a valorar lo que uno hace,,
1234,Me encantaria tenerlo pero no tengo el dinero me apenan las personas que tienen la posibilidad de tenerlo y no les agrade el esfuerzo de mike....y aserca del libro yo pienzo que a de estar genial,,
1234,"Yo ME LO COMPRE PERO ES ABURRIDO PARA MI LO VOY A REGALAR, IGUAL LE DOY 2 ESTRELLAS",,
1234,"Una kk sinseramente, pero les videos de mikecrak zon muy vuenos espespecialmente los de JTA 5 Y LAS escondidas ecctremas (mikecrak te amo )",,
1234,que basura de libro este libro lo voy a quemar o uso la hogas de papel higenico,,
,,,
